Nom,Date de création,Montant total levé,Contact 1,Poste 1,Contact 2,Poste 2,Contact 3,Poste 3
2SPARK,2011,1M€,Alexandra Lambrechts,Responsable Communication & Marketing,Benjamin Joly,Product Director,,
365TALENTS,2015,"2,5M€",Loïc Michel,CEO,Mathieu Martin,Co-founder & Chief Sales Officer,Marion LOPEZ,Responsable Marketing
55 | fifty-five,2010,Unknown,Andrea Habre,Senior Marketing Specialist,Arnaud MASSONNIE,Managing Partner,,
ACINQ,2014,"8,7M€",Pierre-Marie PADIOU,Président,,,,
ADANAM TECHNOLOGY,2011,Unknown,Van Dung Tran,CEO,,,,
ADCLEEK,2011,300k€,Guy Leflaive,CEO,Florent Labourot,CTO,,
ADIKTEEV,2015,"11,9M€",Emilien Eychenne,Chief Revenue Officier,,,,
Admo.tv,2015,"7,8M€",Domitille de Saint-Exupéry,Directrice Marketing,Caroline Lambot,Head of Sales,,
ADOK,2010,Unknown,Paul Péretié,CEO,,,,
ADVENS,2000,Unknown,Benjamin Leroux,CMO,,,,
ADVENTORI,2009,Unknown,Pierre-Antoine Durgeat,Président,Carole Ellouk,DGA,,
AFFILAE,2012,Unknown,Alexandre Dos Santos,Co-founder,,,,
AFTERDATA,2018,80k€,Alexis Monier,Co-founder,Aurélien Monier,Co-founder,,
AGENDIZE,2003,"2,65M€",Alexandre Rambaud,Président,Julien Alberge,Directeur Stratégie & Communication,Guillaume DOSNON,Directeur Marketing
AGIL TECHNOLOGIES,2013,Unknown,✓ Yann Mazé,Marketing Manager,Gildas Duval,Managing Director,,
ALCMEON,2011,350k€,Valerie Daoud Henderson,COO,,,,
ALGODEEP,2017,Unknown,Rudy Delouya,Co-founder,Guillaume Germaine,Co-founder & CEO,,
ALGOLIA,2012,"67,8M€",Matthieu Blandineau,Product Marketing Manager,,,,
ALPHALYR,2013,1M€,Bertrand Fredenucci,Founder,Rémi VIDAL,cofounder,Constance Rietzler,co-CEO
ALSID,2016,"1,5M€",Lauriane Audubert,Marketing Manager,,,,
ANDJARO,2015,6M€,Delphine Hang-Golden,Chief Marketing Officer,Quentin Guilluy,Co-founder & CEO,Delphine Hang-Golden,Chief Marketing Officer
ANTIDOT,2007,"2,5M€",Fabrice Lacroix,CEO,,,,
APIZEE,2013,1M€,L'Hostis Michel,CEO,Carolina Brando,Marketing/Communication,,
APPLIED TECHNOLOGIES INTERNET,1995,"6,25M€",Jean-Baptiste ROUX,Chief Customer Officer,Laurent de Bar,Marketing Communication Director,Marie Bruandet,Digital Marketing Manager
AR24,2015,Unknown,Guillaume de Malzac,Administrateur,,,,
ARIADNEXT,2010,"1,67M€",Bertrand Bouteloup,VP Sales & Communication,Marc Norlain,Directeur Général,Margot Morel,Digital manager
ASKHUB,2017,Unknown,Mathieu Rouxel,Co-founder,,,,
ASTON iTF,2010,Unknown,Amaury de la Lance,Fondateur,Aymeric Dupas,Directeur Général,,
AUGMENTEO,2017,130k€,Quentin Warnant,CTO,,,,
BANKIN',2011,"28,4M€",Franck Lhuerre,Business angel,Jean Marien,Communication Manager,,
Batch,2010,500k€,Antoine Guénard,"Co-founder, CTO",Simon Dawlat,"Co-founder, CEO",,
BATVOICE TECHNOLOGIES,2015,120k€,Maxime Sendorek ☑,"CEO, Founder",,,,
BELEM,2016,Unknown,Romain Rouphael,Co-Founder,Côme Jean Jarry,Co-Founder,Victor Afanassieff,Lead Developer
BILLEE,2017,230k€,Ghislain Rouëssé,CEO,Jan de Lobkowicz,COO,,
BLOCKCHAIN PARTNER,2016,Unknown,Antoine Yeretzian,Directeur Commercial,Clément Jeanneau,Co-fondateur,Maxime Hagenbourger,Directeur Technique
BONITASOFT,2013,27M€,Carole Winqwist,VP marketing,,,,
BOTIFY,2010,"7,2M€",Adrien Menard,CEO,Christine Leclercq,Financial Planning Analyst,,
Braineet,2014,"1,4M€",Jonathan Livescault,CEO,Jean-Philippe Lorinquer,Directeur Général,,
BRIQ,2015,800k€,Jeremie Sicsic,Co-founder & COO,Charlene Thouard,Co-founder & CEO,Clara Mesnard,Business Developer
BTU protocol,2018,Unknown,Hervé Hababou,Président,Maxime LOGEART,Administrateur,,
BUSINESS-ON-LINE,2009,Unknown,Cyril Bladier,Directeur,,,,
Cadre de Vie,2016,234k€,Yann Pironi,Responsable marketing,,,,
CAPTAIN CONTRAT,2013,5M€,Philippe Wagner,Co-fondateur et CEO,Laetitia de Roquemaurel,Responsable Grands Comptes,,
CibleR,2017,Unknown,Erwan Simon,CEO,Fabien Grosyeux,CPO,,
CLIC DATA,2012,"4,6M€",Hélène Clary,Business Development Manager,Axelle Seifert,Marketing Manager,Anna Walter,Senior Business Analyst
CODING DAYS,2017,Unknown,mathilde added,Chargée de communication,Juliette GAYRAUD,Responsable des opérations,,
COINHOUSE,2014,"3,26M€",Nicolas Louvet,Administrateur,,,,
COMET,2016,13M€,Corentin GRANGE,Head of Care & Community,Valentin CORDIER,Co-Founder & COO @ comet,Alixia de la Houssaye,Head Of Sales
Commanders Act,2010,8M€,Samuel Font,CIO,François Langrand,COO,Annabelle Laudano,Marketing Manager
CONTENTSQUARE,2008,105M€,Ronny Pouvreau,EMEA Marketing Director,Victoire Galouzeau de Villepin,Strategic Projects Manager,,
craft ai,2015,2M€,Clodéric Mars,CTO,Stephane Delorme,CEO,Gwendoline SOULIER,Chargée de Communication
CREADS,2014,4M€,Alexandra Landicheff,Office manager,,,,
CROSS DATA,2019,Unknown,Jean-Charles Rongere,Marketing & Commerce,Pierre Girardeau,Data Scientist & Associé,,
CRYPTOSENSE,2013,700k€,Graham Steel,CEO,Clement Jeanjean,COO,,
CYRATING,2017,Unknown,Christophe Ternat,CEO,,,,
DANEEL,2018,Unknown,Fabien Ducoudray,Directeur commercial,,,,
DASHLANE,2009,"168,6M€",Frédéric RIVAIN,CTO,Christophe Cazes,Responsable Financier,,
